Unnamed: 0,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp,Population_Density
0,1st week,Meghalaya,East Jaintia Hills,Acute Diarrhoeal Disease,160,,2,1,2022,25.25157605,92.48405007,0.02035381907,34.5,291.5333334,132
1,2nd week,Maharashtra,Gadchiroli,Malaria,7,2.0,10,1,2022,19.75907035,80.16228073,0.007479298714,9.0,299.97,365
2,3rd week,Tamil Nadu,Pudukottai,Acute Diarrhoeal Disease,8,,18,1,2022,10.3826515,78.8191259,0.1074129745,12.0,300.7666666,555
3,3rd week,Gujarat,Patan,Acute Diarrhoeal Disease,7,,11,1,2022,23.77405735,71.68373466,0.06509449409,9.0,299.08,308
4,3rd week,Kerala,Ernakulam,Acute Diarrhoeal Disease,14,,24,12,2021,9.98408,76.2741457,0.04125608103,33.0,303.028,859
5,3rd week,Tamil Nadu,Pudukottai,Acute Diarrhoeal Disease,8,,18,1,2022,10.3826515,78.8191259,0.1074129745,12.0,300.7666666,555
6,5th week,Uttar Pradesh,Fatehpur,Acute Encephalitis Syndrome,1,,24,1,2022,25.8435395,80.91800397,0.09903011933,,290.18,828
7,6th week,Maharashtra,Gadchiroli,Malaria,1,1.0,9,2,2022,19.75907035,80.16228073,8.36e-05,,300.06333340000003,365
8,6th week,Odisha,Koraput,Acute Diarrhoeal Disease,15,,11,2,2022,18.7232023,82.60811828,0.0004905797777,12.0,300.5566666,269
9,7th week,Gujarat,Ahmedabad,Acute Diarrhoeal Disease,67,,17,2,2022,23.0216238,72.5797068,7.25e-05,,302.55333340000004,308
10,7th week,West Bengal,Bardhaman,Acute Diarrhoeal Disease,89,,17,2,2022,23.41146995,87.84499445,0.003711025774,,296.68,1030
11,7th week,Kerala,Trivandrum,Acute Diarrhoeal Disease,5,,14,2,2022,8.4882267,76.947551,0.348763274,37.0,302.955,859
